GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,control.1.G,control.1.G.1,control.2.G,control.2.G.1,control.3.G,control.3.G.1,change
Gnal,3,1016,-8.403722186,-8.461050765,0,0,0,TRUE,2,540,2,2,2,477,Down
Gnb4,56,276,-2.301169535,-2.358498114,0,0,0,TRUE,55,194,2,10,2,75,Down
Gng3,3,36,-3.584962501,-3.64229108,4.87E-09,3.89E-08,3.88E-08,TRUE,2,11,2,2,2,26,Down
Gng5-ps,3,33,-3.459431619,-3.516760198,3.41E-08,2.62E-07,2.61E-07,TRUE,2,32,2,2,2,2,Down
Gnpnat1,33,567,-4.102810806,-4.160139385,0,0,0,TRUE,2,99,22,204,12,267,Down
Gnrh1,3,43,-3.841302254,-3.898630833,4.95E-11,4.25E-10,4.24E-10,TRUE,2,2,2,2,2,42,Down
Golga5,3,732,-7.930737338,-7.988065917,0,0,0,TRUE,2,731,2,2,2,2,Down
Golim4,3,81,-4.754887502,-4.812216081,0,0,0,TRUE,2,80,2,2,2,2,Down
Golt1b,3,6867,-11.16050175,-11.21783033,0,0,0,TRUE,2,65,2,2,2,6803,Down
Got2,12,243,-4.339850003,-4.397178582,0,0,0,TRUE,11,236,2,2,2,8,Down
Gpatch11,3,50,-4.058893689,-4.116222268,4.75E-13,4.38E-12,4.37E-12,TRUE,2,49,2,2,2,2,Down
Gpatch3,3,41,-3.772589504,-3.829918083,1.85E-10,1.55E-09,1.55E-09,TRUE,2,2,2,2,2,40,Down
Gpc4,21,131,-2.641105579,-2.698434158,0,0,0,TRUE,10,130,12,2,2,2,Down
Gpcpd1,30,447,-3.897240426,-3.954569005,0,0,0,TRUE,29,446,2,2,2,2,Down
Gpi1,3,21,-2.807354922,-2.864683501,6.64E-05,0.000415934,0.000413598,TRUE,2,20,2,2,2,2,Down
Gpkow,29,386,-3.734476042,-3.791804621,0,0,0,TRUE,8,2,22,385,2,2,Down
