GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,Test.1.G,Test.1.G.1,Test.2.G,Test.2.G.1,Test.3.G,Test.3.G.1,change,label
Gys1,45,3,3.906890596,3.870140941,5.37E-11,3.21E-10,3.19E-10,TRUE,19,1,25,1,1,1,Up,NA
Gzf1,22,3,2.874469118,2.837719463,6.93E-05,0.000293487,0.000291672,TRUE,20,1,1,1,1,1,Up,NA
Gzmm,66,3,4.459431619,4.422681964,1.11E-16,8.04E-16,7.98E-16,TRUE,56,1,9,1,1,1,Up,NA
H2.Ea.ps,22,3,2.874469118,2.837719463,6.93E-05,0.000293487,0.000291672,TRUE,1,1,20,1,1,1,Up,NA
H2.K1,109,3,5.183221824,5.146472169,0,0,0,TRUE,23,1,13,1,73,1,Up,NA
H2.M9,419,3,7.125843933,7.089094278,0,0,0,TRUE,5,1,40,1,374,1,Up,NA
H2.Ob,68,3,4.502500341,4.465750686,0,0,0,TRUE,32,1,35,1,1,1,Up,NA
H2.Q4,78,3,4.700439718,4.663690063,0,0,0,TRUE,76,1,1,1,1,1,Up,NA
H2.T24,234,3,6.285402219,6.248652564,0,0,0,TRUE,143,1,90,1,1,1,Up,NA
H2.T3,333,3,6.794415866,6.757666212,0,0,0,TRUE,151,1,181,1,1,1,Up,NA
H2afy,7371,437,4.076155174,4.039405519,0,0,0,TRUE,2947,106,1651,284,2773,47,Up,NA
H2afy2,41,3,3.772589504,3.735839849,6.61E-10,3.76E-09,3.74E-09,TRUE,39,1,1,1,1,1,Up,NA
H2afz,80,3,4.736965594,4.700215939,0,0,0,TRUE,78,1,1,1,1,1,Up,NA
H3f3a,81,7,3.532495081,3.495745426,0,0,0,TRUE,30,1,50,1,1,5,Up,NA
H3f3b,89,3,4.89077093,4.854021275,0,0,0,TRUE,75,1,13,1,1,1,Up,NA
